Sample,Density,Hours,Mesocosm,TotalBio,AvBio,stPCR
12,1,4,2,0.0943,0.0943,1
13,1,4,3,0.1799,0.1799,1
14,1,4,4,0.1864,0.1864,0
15,5,4,5,0.5097,0.10194,0
16,5,4,6,0.6527,0.13054,1
17,5,4,7,0.6647,0.13294,1
18,20,4,8,2.3291,0.116455,1
19,20,4,9,1.9828,0.09914,1
20,20,4,10,1.8622,0.09311,1
22,1,8,2,0.0943,0.0943,0
23,1,8,3,0.1799,0.1799,0
24,1,8,4,0.1864,0.1864,0
25,5,8,5,0.5097,0.10194,1
26,5,8,6,0.6527,0.13054,1
27,5,8,7,0.6647,0.13294,1
28,20,8,8,2.3291,0.116455,1
29,20,8,9,1.9828,0.09914,1
30,20,8,10,1.8622,0.09311,1
32,1,24,2,0.0943,0.0943,0
33,1,24,3,0.1799,0.1799,1
34,1,24,4,0.1864,0.1864,0
35,5,24,5,0.5097,0.10194,1
36,5,24,6,0.6527,0.13054,0
37,5,24,7,0.6647,0.13294,1
38,20,24,8,2.3291,0.116455,1
39,20,24,9,1.9828,0.09914,1
40,20,24,10,1.8622,0.09311,1
42,1,168,2,0.0943,0.0943,0
43,1,168,3,0.1799,0.1799,0
44,1,168,4,0.1864,0.1864,0
45,5,168,5,0.5097,0.10194,0
46,5,168,6,0.6527,0.13054,1
47,5,168,7,0.6647,0.13294,1
48,20,168,8,2.3291,0.116455,0
49,20,168,9,1.9828,0.09914,0
50,20,168,10,1.8622,0.09311,0
52,1,360,2,0.0943,0.0943,0
53,1,360,3,0.1799,0.1799,0
54,1,360,4,0.1864,0.1864,0
55,5,360,5,0.5097,0.10194,0
56,5,360,6,0.6527,0.13054,0
57,5,360,7,0.6647,0.13294,0
58,20,360,8,2.3291,0.116455,0
59,20,360,9,1.9828,0.09914,0
60,20,360,10,1.8622,0.09311,0
62,1,504,2,0.0943,0.0943,0
63,1,504,3,0.1799,0.1799,0
64,1,504,4,0.1864,0.1864,0
65,5,504,5,0.5097,0.10194,0
66,5,504,6,0.6527,0.13054,0
67,5,504,7,0.6647,0.13294,1
68,20,504,8,2.3291,0.116455,1
69,20,504,9,1.9828,0.09914,1
70,20,504,10,1.8622,0.09311,1
