Sample,Density,Hours,Mesocosm,TotalBio,AvBio,stPCR
12,1,4,2,1.0973,1.0973,1
13,1,4,3,1.8,1.8,1
14,1,4,4,2.3688,2.3688,1
15,5,4,5,1.7836,0.35672,1
16,5,4,6,4.8263,2.1483,1
17,5,4,7,4.027,0.8054,1
18,20,4,8,21.2358,1.04925,1
19,20,4,9,19.825,0.99125,1
20,20,4,10,18.5253,0.926265,1
22,1,8,2,1.0973,1.0973,1
23,1,8,3,1.8,1.8,1
24,1,8,4,2.3688,2.3688,1
25,5,8,5,1.7836,0.35672,1
26,5,8,6,4.8263,2.1483,1
27,5,8,7,4.027,0.8054,1
28,20,8,8,21.2358,1.04925,1
29,20,8,9,19.825,0.99125,1
30,20,8,10,18.5253,0.926265,1
32,1,24,2,1.0973,1.0973,1
33,1,24,3,1.8,1.8,1
34,1,24,4,2.3688,2.3688,0
35,5,24,5,1.7836,0.35672,1
36,5,24,6,4.8263,2.1483,1
37,5,24,7,4.027,0.8054,1
38,20,24,8,21.2358,1.04925,1
39,20,24,9,19.825,0.99125,1
40,20,24,10,18.5253,0.926265,1
42,1,168,2,1.0973,1.0973,0
43,1,168,3,1.8,1.8,0
44,1,168,4,2.3688,2.3688,1
45,5,168,5,1.7836,0.35672,1
46,5,168,6,4.8263,2.1483,1
47,5,168,7,4.027,0.8054,1
48,20,168,8,21.2358,1.04925,1
49,20,168,9,19.825,0.99125,1
50,20,168,10,18.5253,0.926265,1
52,1,360,2,1.0973,1.0973,1
53,1,360,3,1.8,1.8,0
54,1,360,4,2.3688,2.3688,0
55,5,360,5,1.7836,0.35672,1
56,5,360,6,4.8263,2.1483,1
57,5,360,7,4.027,0.8054,1
58,20,360,8,21.2358,1.04925,1
59,20,360,9,19.825,0.99125,1
60,20,360,10,18.5253,0.926265,1
62,1,504,2,1.0973,1.0973,0
63,1,504,3,1.8,1.8,1
64,1,504,4,2.3688,2.3688,1
65,5,504,5,1.7836,0.35672,0
66,5,504,6,4.8263,2.1483,1
67,5,504,7,4.027,0.8054,1
68,20,504,8,21.2358,1.04925,1
69,20,504,9,19.825,0.99125,1
70,20,504,10,18.5253,0.926265,1
